unit_id,cycle,temperature,voltage,vibration,pressure,fuel_flow,rpm,rul
1,1,0.13300247371029206,0.8837715940942069,0.22394253510360362,0.3377690830608494,0.19705532547583804,0.7550281353727,153
1,2,0.21519950206840344,0.925779380709396,0.2220767410153609,0.4028857742618107,0.23000359190710973,0.7544313354063836,152
1,3,0.20066919293271157,0.8902964196101802,0.24939493781898003,0.3762920895354146,0.1861202269187996,0.76582700254914,151
1,4,0.22576004686112228,0.9062645273508235,0.20629269853378196,0.38021737076852913,0.2349965051313061,0.83396955423679,150
1,5,0.20272138299069953,0.9177144616173959,0.2922608686631162,0.3926809365378242,0.16473228994428823,0.7563051679077275,149
1,6,0.20911344230322548,0.9313786353987582,0.21775402850192882,0.3916910280069691,0.14409780800341188,0.8516548674912747,148
1,7,0.2133758676730726,0.9189329646835548,0.2000207398085524,0.44315952946227977,0.20835315946500788,0.8227669516885261,147
1,8,0.21773404903437,0.9118185000507736,0.24544524896465225,0.4510932137187168,0.2206563083434292,0.8491005603932382,146
1,9,0.15096848817469077,0.9001004361942259,0.2079726524071297,0.4397622103003539,0.18317349130075344,0.9048958123059456,145
1,10,0.16888185052776206,0.9254545382022857,0.16846823387993237,0.46342656446702823,0.21357276750797305,0.8445718094500947,144
1,11,0.2154244964857963,0.9210773359913093,0.21376492071939068,0.47160802394425694,0.26144952440545044,0.7927691408784285,143
1,12,0.15875460834876587,0.8811126662583234,0.19575165392041505,0.5173840204556229,0.2139207649053767,0.8495456302480271,142
1,13,0.18430948706754424,0.9063573733017009,0.2482011168064785,0.5009186738495902,0.23614781340461377,0.759967760697964,141
1,14,0.1872004794455795,0.894386124927724,0.1887083269764559,0.540020581715127,0.17448796721180693,0.8030349393464602,140
1,15,0.21274328801161402,0.9101095480648146,0.251809253595349,0.5302535974629062,0.17868299395319598,0.7958413267922242,139
1,16,0.15106807776185138,0.870573268473743,0.18690122314875068,0.5089617758709016,0.23551506954755053,0.7405540271259388,138
1,17,0.19021519574088952,0.9250785336638353,0.22035886655611814,0.579196685898178,0.1464755148004393,0.7851087013777327,137
1,18,0.17491241379997946,0.8906059358063835,0.2615363446644978,0.5019049562057626,0.24030172843495667,0.8127827028419894,136
1,19,0.18655095768187813,0.8668501508051328,0.23740516242402632,0.5520862476337524,0.22795580344773625,0.7972427711514258,135
1,20,0.25156742057199155,0.8899609898435993,0.20244059861447716,0.5844878802860441,0.2284604664922869,0.8833420725446997,134
1,21,0.2307906943476703,0.9006357147807796,0.28673051059665844,0.5435483531071149,0.1716988920946021,0.7321529919605847,133
1,22,0.19679068818263912,0.8640070076176559,0.26078628080669697,0.5835607505746029,0.11693411489897976,0.7247413183130602,132
1,23,0.21872244842123134,0.9073973763069506,0.30775793539154206,0.698735282471192,0.24603626644648502,0.7248036792822463,131
1,24,0.14946125894247697,0.894248827265309,0.21600375965627594,0.5870066649506264,0.17815378971682816,0.7786759811305461,130
